Activity,AE,W,BE,V,seqid,Length,d
antioxidative,0.0116,0.1338,0,0,0,173,2
antioxidative,0.0311,0.3002,0,0,1,193,6
antioxidative,0.0123,0.1364,0,0,2,488,6
antioxidative,0.0044,0.0434,0,0,3,227,1
antioxidative,0.0057,0.1504,0,0,4,528,3
antioxidative,0.0141,0.1741,0,0,5,568,8
antioxidative,0.0099,0.1111,0,0,6,101,1
antioxidative,0.0086,0.1426,0,0,7,116,1
antioxidative,0.0022,0.0251,0,0,8,457,1
antioxidative,0.0091,0.1243,0,0,9,328,3
antioxidative,0,0,0,0,10,430,0
antioxidative,0.0136,0.1111,0,0,11,294,4
antioxidative,0.0043,0.0535,0,0,12,461,2
antioxidative,0.0062,0.0998,0,0,13,161,1
antioxidative,0,0,0,0,14,135,0
antioxidative,0.0126,0.1429,0,0,15,238,3
antioxidative,0.0031,0.0387,0,0,16,324,1
antioxidative,0,0,0,0,17,283,0
antioxidative,0.0088,0.1991,0,0,18,113,1
antioxidative,0.0076,0.0836,0,0,19,132,1
antioxidative,0.0054,0.1256,0,0,20,186,1
antioxidative,0,0,0,0,21,183,0
antioxidative,0.0043,0.054,0,0,22,464,2
antioxidative,0.0128,0.1269,0,0,23,545,7
antioxidative,0.0209,0.1426,0,0,24,382,8
antioxidative,0.0107,0.1037,0,0,25,281,3
antioxidative,0.0151,0.2145,0,0,26,199,3
antioxidative,0,0,0,0,27,167,0
antioxidative,0,0,0,0,28,111,0
antioxidative,0.0043,0.053,0,0,29,468,2
antioxidative,0.0117,0.1255,0,0,30,515,6
antioxidative,0.0069,0.1,0,0,31,145,1
antioxidative,0.0151,0.2,0,0,32,265,4
antioxidative,0.0194,0.2182,0,0,33,360,7
antioxidative,0.0089,0.166,0,0,34,112,1
antioxidative,0.0168,0.1481,0,0,35,238,4
antioxidative,0.0115,0.1486,0,0,36,349,4
antioxidative,0.0184,0.1853,0,0,37,544,10
antioxidative,0.0127,0.111,0,0,38,236,3
antioxidative,0.0136,0.2495,0,0,39,220,3
antioxidative,0.0169,0.1995,0,0,40,118,2
antioxidative,0,0,0,0,41,112,0
antioxidative,0.0118,0.1662,0,0,42,507,6
antioxidative,0.01,0.1,0,0,43,100,1
antioxidative,0.0044,0.054,0,0,44,454,2
antioxidative,0.0153,0.2102,0,0,45,261,4
antioxidative,0,0,0,0,46,137,0
antioxidative,0,0,0,0,47,107,0
antioxidative,0.0119,0.1315,0,0,48,420,5
antioxidative,0.0182,0.1668,0,0,49,165,3
antioxidative,0.0061,0.0623,0,0,50,327,2
antioxidative,0.0056,0.1107,0,0,51,178,1
antioxidative,0.0128,0.1427,0,0,52,156,2
antioxidative,0.0185,0.1876,0,0,53,487,9
antioxidative,0,0,0,0,54,229,0
antioxidative,0.0087,0.1,0,0,55,115,1
antioxidative,0,0,0,0,56,164,0
antioxidative,0.0099,0.1183,0,0,57,203,2
antioxidative,0.0057,0.0763,0,0,58,174,1
antioxidative,0.004,0.0633,0,0,59,253,1
antioxidative,0.0141,0.1669,0,0,60,284,4
antioxidative,0,0,0,0,61,118,0
antioxidative,0.0067,0.1115,0,0,62,449,3
antioxidative,0.0089,0.0958,0,0,63,560,5
antioxidative,0.0167,0.1288,0,0,64,239,4
antioxidative,0.0069,0.0667,0,0,65,290,2
antioxidative,0.0053,0.077,0,0,66,189,1
antioxidative,0.0127,0.2006,0,0,67,158,2
antioxidative,0.0061,0.0995,0,0,68,163,1
antioxidative,0.0087,0.2514,0,0,69,231,2
