Activity,AE,W,BE,V,seqid,Length,d
antioxidative,0.0097,0.2,0,0,0,103,1
antioxidative,0.0135,0.0951,0,0,1,148,2
antioxidative,0.0105,0.2079,0,0,2,475,5
antioxidative,0.0101,0.1435,0,0,3,199,2
antioxidative,0,0,0,0,4,123,0
antioxidative,0.0185,0.1917,0,0,5,487,9
antioxidative,0.0099,0.1559,0,0,6,504,5
antioxidative,0.0057,0.1504,0,0,7,528,3
antioxidative,0.0058,0.1247,0,0,8,172,1
antioxidative,0.01,0.1111,0,0,9,100,1
antioxidative,0.0083,0.1334,0,0,10,241,2
antioxidative,0.0105,0.1116,0,0,11,287,3
antioxidative,0.0167,0.2005,0,0,12,360,6
antioxidative,0.0091,0.091,0,0,13,110,1
antioxidative,0.0164,0.1667,0,0,14,122,2
antioxidative,0.0053,0.0668,0,0,15,189,1
antioxidative,0.0144,0.1287,0,0,16,277,4
antioxidative,0.0138,0.1597,0,0,17,509,7
antioxidative,0.0263,0.2498,0,0,18,152,4
antioxidative,0,0,0,0,19,141,0
antioxidative,0.0056,0.0996,0,0,20,178,1
antioxidative,0.0049,0.0588,0,0,21,204,1
antioxidative,0.0028,0.0481,0,0,22,361,1
antioxidative,0.0286,0.3337,0,0,23,105,3
antioxidative,0.0042,0.05,0,0,24,476,2
antioxidative,0.0167,0.2496,0,0,25,239,4
antioxidative,0.0115,0.1295,0,0,26,349,4
antioxidative,0.0193,0.2497,0,0,27,207,4
antioxidative,0.0061,0.0837,0,0,28,494,3
antioxidative,0,0,0,0,29,110,0
antioxidative,0,0,0,0,30,284,0
antioxidative,0.0054,0.0773,0,0,31,186,1
antioxidative,0.0086,0.1995,0,0,32,116,1
antioxidative,0.0091,0.0834,0,0,33,110,1
antioxidative,0.0034,0.032,0,0,34,292,1
antioxidative,0.0089,0.1137,0,0,35,447,4
antioxidative,0.0164,0.151,0,0,36,304,5
antioxidative,0.0069,0.0994,0,0,37,288,2
antioxidative,0.0099,0.1429,0,0,38,101,1
antioxidative,0.0138,0.1818,0,0,39,290,4
antioxidative,0,0,0,0,40,161,0
antioxidative,0.0167,0.1431,0,0,41,180,3
antioxidative,0.0116,0.0997,0,0,42,344,4
antioxidative,0.0161,0.1145,0,0,43,249,4
antioxidative,0.0043,0.1414,0,0,44,230,1
antioxidative,0.0094,0.1366,0,0,45,320,3
antioxidative,0.0185,0.1498,0,0,46,324,6
antioxidative,0.0031,0.0416,0,0,47,322,1
antioxidative,0.0031,0.0593,0,0,48,325,1
antioxidative,0.0056,0.0917,0,0,49,180,1
