Activity,AE,W,BE,V,seqid,Length,d
antioxidative,0.0167,0.2005,0,0,0,360,6
antioxidative,0,0,0,0,1,186,0
antioxidative,0.03,0.2308,0,0,2,100,3
antioxidative,0.0103,0.151,0,0,3,484,5
antioxidative,0.0169,0.1817,0,0,4,473,8
antioxidative,0.0043,0.0522,0,0,5,462,2
antioxidative,0.0066,0.1255,0,0,6,152,1
antioxidative,0.0149,0.1568,0,0,7,537,8
antioxidative,0.0073,0.1111,0,0,8,548,4
antioxidative,0.0072,0.1113,0,0,9,139,1
antioxidative,0,0,0,0,10,112,0
antioxidative,0.0161,0.2218,0,0,11,124,2
antioxidative,0.0286,0.3753,0,0,12,105,3
antioxidative,0.0145,0.1177,0,0,13,138,2
antioxidative,0.0047,0.0841,0,0,14,429,2
antioxidative,0.0081,0.0874,0,0,15,248,2
antioxidative,0.0043,0.0522,0,0,16,462,2
antioxidative,0.0049,0.0839,0,0,17,411,2
antioxidative,0.0115,0.1295,0,0,18,349,4
antioxidative,0.0098,0.1256,0,0,19,205,2
antioxidative,0.0118,0.1152,0,0,20,254,3
antioxidative,0.0174,0.1665,0,0,21,287,5
antioxidative,0,0,0,0,22,110,0
antioxidative,0.0055,0.0663,0,0,23,181,1
antioxidative,0,0,0,0,24,111,0
antioxidative,0.0124,0.1247,0,0,25,161,2
antioxidative,0.0184,0.1472,0,0,26,488,9
antioxidative,0.0127,0.1771,0,0,27,237,3
antioxidative,0.0118,0.1464,0,0,28,509,6
antioxidative,0.0042,0.0526,0,0,29,476,2
antioxidative,0.0057,0.1103,0,0,30,174,1
antioxidative,0.0093,0.1047,0,0,31,214,2
antioxidative,0.0042,0.0537,0,0,32,473,2
antioxidative,0,0,0,0,33,125,0
antioxidative,0.0044,0.0545,0,0,34,458,2
antioxidative,0,0,0,0,35,164,0
antioxidative,0.0048,0.0716,0,0,36,209,1
antioxidative,0.0028,0.0307,0,0,37,351,1
antioxidative,0.0071,0.1216,0,0,38,565,4
antioxidative,0.0075,0.0712,0,0,39,133,1
antioxidative,0.0126,0.1664,0,0,40,317,4
antioxidative,0.01,0.1435,0,0,41,201,2
antioxidative,0.0067,0.1109,0,0,42,149,1
antioxidative,0.0091,0.0728,0,0,43,328,3
antioxidative,0.0043,0.0543,0,0,44,467,2
antioxidative,0.024,0.375,0,0,45,125,3
antioxidative,0.0068,0.0748,0,0,46,440,3
antioxidative,0.0101,0.1547,0,0,47,199,2
antioxidative,0.0028,0.0415,0,0,48,356,1
antioxidative,0.0042,0.0526,0,0,49,476,2
antioxidative,0.0062,0.0998,0,0,50,161,1
antioxidative,0.0104,0.1672,0,0,51,193,2
antioxidative,0,0,0,0,52,111,0
antioxidative,0.0058,0.1247,0,0,53,172,1
antioxidative,0.0117,0.1128,0,0,54,511,6
antioxidative,0.0036,0.0768,0,0,55,277,1
antioxidative,0.0129,0.1583,0,0,56,233,3
antioxidative,0.0034,0.0366,0,0,57,291,1
antioxidative,0.0108,0.1502,0,0,58,278,3
antioxidative,0.0085,0.1243,0,0,59,117,1
antioxidative,0.0042,0.0523,0,0,60,473,2
antioxidative,0.007,0.0877,0,0,61,426,3
antioxidative,0.0372,0.3333,0,0,62,215,8
antioxidative,0.0136,0.272,0,0,63,220,3
antioxidative,0.0099,0.1256,0,0,64,203,2
antioxidative,0.0093,0.0772,0,0,65,108,1
antioxidative,0.0105,0.2268,0,0,66,475,5
antioxidative,0.0042,0.0526,0,0,67,476,2
