Activity,AE,W,BE,V,seqid,Length,d
antioxidative,0.0087,0.1516,0,0,0,575,5
antioxidative,0.0019,0.0316,0,0,1,516,1
antioxidative,0.0057,0.1652,0,0,2,174,1
antioxidative,0.028,0.1762,0,0,3,107,3
antioxidative,0.0088,0.1155,0,0,4,341,3
antioxidative,0.0051,0.0556,0,0,5,392,2
antioxidative,0.0119,0.1537,0,0,6,168,2
antioxidative,0.006,0.0775,0,0,7,168,1
antioxidative,0.006,0.1671,0,0,8,167,1
antioxidative,0.016,0.1176,0,0,9,125,2
antioxidative,0.0035,0.0768,0,0,10,285,1
antioxidative,0,0,0,0,11,117,0
antioxidative,0.0026,0.0454,0,0,12,384,1
antioxidative,0.0118,0.2505,0,0,13,255,3
antioxidative,0.0106,0.1164,0,0,14,472,5
antioxidative,0,0,0,0,15,262,0
antioxidative,0.0047,0.0646,0,0,16,426,2
antioxidative,0.0136,0.2138,0,0,17,220,3
antioxidative,0.0073,0.1244,0,0,18,409,3
antioxidative,0,0,0,0,19,245,0
antioxidative,0.0079,0.0766,0,0,20,126,1
antioxidative,0.0035,0.0723,0,0,21,289,1
antioxidative,0,0,0,0,22,468,0
antioxidative,0.0056,0.0453,0,0,23,178,1
antioxidative,0,0,0,0,24,282,0
antioxidative,0.0152,0.1598,0,0,25,263,4
antioxidative,0,0,0,0,26,332,0
antioxidative,0.0111,0.2506,0,0,27,271,3
antioxidative,0.0038,0.0557,0,0,28,264,1
antioxidative,0.0039,0.0716,0,0,29,257,1
antioxidative,0.0115,0.2007,0,0,30,262,3
antioxidative,0,0,0,0,31,590,0
antioxidative,0.0087,0.1605,0,0,32,461,4
antioxidative,0.0019,0.0526,0,0,33,526,1
antioxidative,0.0168,0.2732,0,0,34,179,3
antioxidative,0.0116,0.1768,0,0,35,259,3
antioxidative,0,0,0,0,36,174,0
antioxidative,0.004,0.0633,0,0,37,253,1
antioxidative,0.0159,0.2003,0,0,38,126,2
antioxidative,0.0078,0.0892,0,0,39,515,4
antioxidative,0.0115,0.1662,0,0,40,260,3
antioxidative,0,0,0,0,41,104,0
antioxidative,0,0,0,0,42,109,0
antioxidative,0,0,0,0,43,176,0
antioxidative,0.006,0.0797,0,0,44,332,2
antioxidative,0.0068,0.1,0,0,45,147,1
antioxidative,0.0048,0.063,0,0,46,210,1
antioxidative,0.0078,0.106,0,0,47,516,4
antioxidative,0.013,0.1597,0,0,48,307,4
antioxidative,0.0019,0.0274,0,0,49,534,1
antioxidative,0.0243,0.258,0,0,50,329,8
antioxidative,0,0,0,0,51,105,0
antioxidative,0.0099,0.2102,0,0,52,403,4
antioxidative,0,0,0,0,53,289,0
antioxidative,0.0107,0.2004,0,0,54,281,3
antioxidative,0.0078,0.1423,0,0,55,511,4
antioxidative,0,0,0,0,56,391,0
antioxidative,0,0,0,0,57,353,0
antioxidative,0.0166,0.1921,0,0,58,301,5
antioxidative,0.0073,0.1429,0,0,59,137,1
antioxidative,0.0109,0.1329,0,0,60,183,2
antioxidative,0.0024,0.068,0,0,61,425,1
antioxidative,0.0123,0.1534,0,0,62,162,2
antioxidative,0,0,0,0,63,304,0
antioxidative,0.0055,0.2489,0,0,64,181,1
antioxidative,0.0063,0.1299,0,0,65,474,3
antioxidative,0.0158,0.1876,0,0,66,190,3
antioxidative,0.0029,0.0564,0,0,67,350,1
antioxidative,0.0078,0.1006,0,0,68,258,2
antioxidative,0.0047,0.0606,0,0,69,425,2
antioxidative,0.0233,0.6005,0,0,70,129,3
antioxidative,0,0,0,0,71,151,0
antioxidative,0.0038,0.0501,0,0,72,264,1
antioxidative,0.0028,0.0671,0,0,73,360,1
antioxidative,0,0,0,0,74,425,0
antioxidative,0,0,0,0,75,141,0
antioxidative,0.0056,0.1,0,0,76,357,2
antioxidative,0.0067,0.1004,0,0,77,150,1
antioxidative,0,0,0,0,78,147,0
antioxidative,0,0,0,0,79,384,0
antioxidative,0.0078,0.1423,0,0,80,511,4
antioxidative,0.009,0.2098,0,0,81,443,4
antioxidative,0.0088,0.1433,0,0,82,114,1
antioxidative,0,0,0,0,83,301,0
antioxidative,0.0062,0.1662,0,0,84,161,1
antioxidative,0.0092,0.1337,0,0,85,218,2
antioxidative,0.0169,0.286,0,0,86,237,4
antioxidative,0.0058,0.1418,0,0,87,171,1
antioxidative,0,0,0,0,88,306,0
antioxidative,0.0104,0.1206,0,0,89,383,4
antioxidative,0.0056,0.0836,0,0,90,537,3
antioxidative,0,0,0,0,91,286,0
antioxidative,0.0125,0.171,0,0,92,479,6
antioxidative,0.0152,0.2138,0,0,93,197,3
antioxidative,0.0054,0.136,0,0,94,554,3
antioxidative,0,0,0,0,95,536,0
antioxidative,0.0046,0.071,0,0,96,216,1
antioxidative,0.0025,0.0411,0,0,97,395,1
antioxidative,0,0,0,0,98,144,0
antioxidative,0.0149,0.1577,0,0,99,201,3
antioxidative,0,0,0,0,100,111,0
antioxidative,0,0,0,0,101,188,0
antioxidative,0,0,0,0,102,144,0
antioxidative,0.0142,0.2055,0,0,103,492,7
antioxidative,0.0044,0.0903,0,0,104,226,1
antioxidative,0.0187,0.2261,0,0,105,375,7
antioxidative,0.0079,0.1421,0,0,106,126,1
antioxidative,0.0095,0.1664,0,0,107,210,2
antioxidative,0.0135,0.1142,0,0,108,296,4
antioxidative,0,0,0,0,109,175,0
antioxidative,0,0,0,0,110,169,0
antioxidative,0,0,0,0,111,110,0
antioxidative,0.0071,0.1243,0,0,112,280,2
antioxidative,0.0113,0.1497,0,0,113,265,3
antioxidative,0.0143,0.3333,0,0,114,280,4
antioxidative,0.0075,0.0623,0,0,115,399,3
antioxidative,0,0,0,0,116,372,0
antioxidative,0.0039,0.1242,0,0,117,255,1
antioxidative,0.0112,0.1821,0,0,118,179,2
antioxidative,0.0076,0.103,0,0,119,393,3
antioxidative,0.0149,0.1853,0,0,120,336,5
antioxidative,0,0,0,0,121,137,0
antioxidative,0.0078,0.2,0,0,122,385,3
antioxidative,0,0,0,0,123,573,0
antioxidative,0.0023,0.0627,0,0,124,436,1
antioxidative,0.0019,0.0275,0,0,125,522,1
antioxidative,0.0024,0.0311,0,0,126,415,1
antioxidative,0,0,0,0,127,161,0
antioxidative,0,0,0,0,128,248,0
antioxidative,0.0131,0.1621,0,0,129,458,6
antioxidative,0.0145,0.1876,0,0,130,414,6
antioxidative,0,0,0,0,131,287,0
antioxidative,0,0,0,0,132,407,0
antioxidative,0.0078,0.1117,0,0,133,129,1
antioxidative,0,0,0,0,134,251,0
antioxidative,0.0078,0.1663,0,0,135,256,2
antioxidative,0.0059,0.0906,0,0,136,169,1
antioxidative,0.0058,0.0802,0,0,137,346,2
antioxidative,0.0034,0.0671,0,0,138,592,2
antioxidative,0.0122,0.1305,0,0,139,246,3
antioxidative,0,0,0,0,140,171,0
antioxidative,0.0039,0.0684,0,0,141,509,2
antioxidative,0.01,0.1332,0,0,142,599,6
antioxidative,0.0109,0.1037,0,0,143,276,3
antioxidative,0.0028,0.0493,0,0,144,352,1
antioxidative,0.0063,0.077,0,0,145,318,2
antioxidative,0.0022,0.041,0,0,146,447,1
antioxidative,0.0029,0.046,0,0,147,349,1
antioxidative,0.0039,0.0828,0,0,148,510,2
antioxidative,0.0254,0.2274,0,0,149,394,10
antioxidative,0.0085,0.1433,0,0,150,236,2
antioxidative,0,0,0,0,151,164,0
antioxidative,0,0,0,0,152,192,0
antioxidative,0.0172,0.1995,0,0,153,116,2
antioxidative,0.0037,0.0553,0,0,154,269,1
antioxidative,0.0022,0.0323,0,0,155,455,1
antioxidative,0.0209,0.2378,0,0,156,239,5
antioxidative,0.0099,0.1183,0,0,157,203,2
antioxidative,0.0147,0.2678,0,0,158,273,4
