DHT,seqid
50.5814 ,0
45.8333 ,1
43.1211 ,2
47.3451 ,3
30.9298 ,4
45.3263 ,5
44.0000 ,6
46.9565 ,7
34.2105 ,8
43.7309 ,9
43.1235 ,10
41.6382 ,11
37.8261 ,12
33.1250 ,13
31.3433 ,14
46.4135 ,15
38.6997 ,16
35.8156 ,17
35.7143 ,18
45.0382 ,19
36.7568 ,20
30.2198 ,21
38.0130 ,22
39.7059 ,23
43.0446 ,24
44.2857 ,25
36.8687 ,26
33.7349 ,27
53.6364 ,28
37.9015 ,29
37.3541 ,30
51.3889 ,31
31.8182 ,32
38.7187 ,33
30.6306 ,34
46.4135 ,35
48.8506 ,36
45.4880 ,37
42.9787 ,38
38.8128 ,39
51.2821 ,40
28.8288 ,41
38.5375 ,42
53.5354 ,43
38.1898 ,44
41.9231 ,45
32.3529 ,46
30.1887 ,47
38.1862 ,48
46.9512 ,49
51.5337 ,50
42.3729 ,51
45.1613 ,52
41.3580 ,53
38.1579 ,54
54.3860 ,55
33.7423 ,56
45.5446 ,57
45.0867 ,58
35.3175 ,59
39.9293 ,60
41.8803 ,61
36.6071 ,62
37.2093 ,63
45.3782 ,64
40.1384 ,65
39.3617 ,66
39.4904 ,67
35.8025 ,68
40.8696 ,69
