DHT,seqid
38.7187 ,0
41.6216 ,1
55.5556 ,2
32.9193 ,3
40.6780 ,4
37.9610 ,5
35.0993 ,6
42.5373 ,7
30.8958 ,8
39.8551 ,9
45.0450 ,10
39.0244 ,11
35.5769 ,12
41.6058 ,13
33.4112 ,14
42.1053 ,15
37.9610 ,16
40.2439 ,17
49.1379 ,18
35.7843 ,19
37.9447 ,20
48.6014 ,21
39.4495 ,22
40.5556 ,23
56.3636 ,24
34.3750 ,25
46.2012 ,26
42.7966 ,27
38.5827 ,28
37.8947 ,29
34.1040 ,30
47.4178 ,31
38.1356 ,32
33.8710 ,33
37.8556 ,34
33.7423 ,35
44.7115 ,36
41.7143 ,37
37.7660 ,38
55.3030 ,39
36.7089 ,40
45.0000 ,41
45.9459 ,42
50.7645 ,43
37.9828 ,44
40.3226 ,45
46.2415 ,46
37.8788 ,47
36.0563 ,48
38.1053 ,49
33.1250 ,50
44.7917 ,51
42.7273 ,52
32.7485 ,53
42.7451 ,54
35.8696 ,55
46.5517 ,56
42.7586 ,57
43.3213 ,58
42.2414 ,59
38.1356 ,60
30.3529 ,61
38.7850 ,62
38.8128 ,63
46.0396 ,64
43.9252 ,65
32.0675 ,66
37.6842 ,67
