DHT,seqid
48.6111 ,0
53.0864 ,1
45.5446 ,2
43.8424 ,3
45.0450 ,4
32.4895 ,5
48.5876 ,6
43.3526 ,7
50.0000 ,8
38.3117 ,9
40.4040 ,10
35.6250 ,11
49.2537 ,12
37.7823 ,13
41.1290 ,14
46.5587 ,15
44.1624 ,16
38.1898 ,17
41.5094 ,18
37.6033 ,19
38.7850 ,20
43.1535 ,21
41.3043 ,22
52.9915 ,23
54.5455 ,24
42.0091 ,25
41.8182 ,26
39.6867 ,27
50.0000 ,28
35.8696 ,29
38.3901 ,30
50.0000 ,31
49.1379 ,32
43.3265 ,33
48.8506 ,34
38.2479 ,35
39.9478 ,36
41.7143 ,37
42.2018 ,38
35.0877 ,39
43.7931 ,40
28.1250 ,41
52.8662 ,42
30.0199 ,43
52.9915 ,44
50.0000 ,45
37.7111 ,46
44.9883 ,47
46.3415 ,48
37.5235 ,49
38.0846 ,50
32.2581 ,51
43.1034 ,52
35.6757 ,53
47.1545 ,54
42.7027 ,55
33.5878 ,56
35.6250 ,57
44.9883 ,58
43.0380 ,59
46.9636 ,60
51.5924 ,61
49.5575 ,62
34.7107 ,63
40.4040 ,64
35.2601 ,65
35.7143 ,66
40.5660 ,67
36.2445 ,68
41.5525 ,69
33.5766 ,70
41.3793 ,71
35.6757 ,72
35.6846 ,73
42.3358 ,74
34.1040 ,75
41.7062 ,76
35.6757 ,77
36.4341 ,78
30.3030 ,79
47.1545 ,80
47.4576 ,81
41.6244 ,82
37.3041 ,83
33.1250 ,84
36.2445 ,85
43.0518 ,86
41.1290 ,87
42.9658 ,88
43.1373 ,89
37.6033 ,90
41.6667 ,91
44.3114 ,92
41.9540 ,93
42.0091 ,94
48.0226 ,95
48.5588 ,96
38.2550 ,97
35.1955 ,98
48.3370 ,99
53.5088 ,100
45.2297 ,101
43.9252 ,102
41.3580 ,103
53.1532 ,104
40.5660 ,105
40.7692 ,106
42.2727 ,107
39.8734 ,108
35.2941 ,109
37.0567 ,110
47.0085 ,111
42.9561 ,112
41.9580 ,113
49.6503 ,114
42.7027 ,115
